~~ Arvore Geradora (BFS) ~~

Vertice: 10;		Pai: nullptr;		Nível: 0
Vertice: 72;		Pai: 10;		Nível: 1
Vertice: 82;		Pai: 10;		Nível: 1
Vertice: 83;		Pai: 10;		Nível: 1
Vertice: 97;		Pai: 10;		Nível: 1
Vertice: 20;		Pai: 10;		Nível: 1
Vertice: 53;		Pai: 10;		Nível: 1
Vertice: 9;		Pai: 10;		Nível: 1
Vertice: 90;		Pai: 10;		Nível: 1
Vertice: 73;		Pai: 10;		Nível: 1
Vertice: 68;		Pai: 72;		Nível: 2
Vertice: 45;		Pai: 72;		Nível: 2
Vertice: 54;		Pai: 72;		Nível: 2
Vertice: 18;		Pai: 72;		Nível: 2
Vertice: 46;		Pai: 72;		Nível: 2
Vertice: 99;		Pai: 72;		Nível: 2
Vertice: 21;		Pai: 72;		Nível: 2
Vertice: 51;		Pai: 72;		Nível: 2
Vertice: 29;		Pai: 72;		Nível: 2
Vertice: 44;		Pai: 72;		Nível: 2
Vertice: 17;		Pai: 72;		Nível: 2
Vertice: 85;		Pai: 72;		Nível: 2
Vertice: 1;		Pai: 82;		Nível: 2
Vertice: 55;		Pai: 82;		Nível: 2
Vertice: 100;		Pai: 82;		Nível: 2
Vertice: 95;		Pai: 82;		Nível: 2
Vertice: 42;		Pai: 82;		Nível: 2
Vertice: 39;		Pai: 82;		Nível: 2
Vertice: 62;		Pai: 82;		Nível: 2
Vertice: 67;		Pai: 83;		Nível: 2
Vertice: 26;		Pai: 83;		Nível: 2
Vertice: 24;		Pai: 83;		Nível: 2
Vertice: 14;		Pai: 83;		Nível: 2
Vertice: 63;		Pai: 83;		Nível: 2
Vertice: 6;		Pai: 83;		Nível: 2
Vertice: 30;		Pai: 83;		Nível: 2
Vertice: 3;		Pai: 83;		Nível: 2
Vertice: 31;		Pai: 97;		Nível: 2
Vertice: 19;		Pai: 97;		Nível: 2
Vertice: 58;		Pai: 97;		Nível: 2
Vertice: 11;		Pai: 97;		Nível: 2
Vertice: 48;		Pai: 97;		Nível: 2
Vertice: 37;		Pai: 97;		Nível: 2
Vertice: 40;		Pai: 97;		Nível: 2
Vertice: 87;		Pai: 97;		Nível: 2
Vertice: 64;		Pai: 97;		Nível: 2
Vertice: 74;		Pai: 20;		Nível: 2
Vertice: 96;		Pai: 20;		Nível: 2
Vertice: 28;		Pai: 20;		Nível: 2
Vertice: 32;		Pai: 20;		Nível: 2
Vertice: 22;		Pai: 20;		Nível: 2
Vertice: 92;		Pai: 20;		Nível: 2
Vertice: 36;		Pai: 53;		Nível: 2
Vertice: 15;		Pai: 9;		Nível: 2
Vertice: 60;		Pai: 9;		Nível: 2
Vertice: 16;		Pai: 9;		Nível: 2
Vertice: 75;		Pai: 9;		Nível: 2
Vertice: 89;		Pai: 9;		Nível: 2
Vertice: 65;		Pai: 9;		Nível: 2
Vertice: 7;		Pai: 90;		Nível: 2
Vertice: 91;		Pai: 90;		Nível: 2
Vertice: 25;		Pai: 90;		Nível: 2
Vertice: 33;		Pai: 90;		Nível: 2
Vertice: 47;		Pai: 90;		Nível: 2
Vertice: 61;		Pai: 73;		Nível: 2
Vertice: 56;		Pai: 73;		Nível: 2
Vertice: 71;		Pai: 73;		Nível: 2
Vertice: 88;		Pai: 73;		Nível: 2
Vertice: 12;		Pai: 73;		Nível: 2
Vertice: 78;		Pai: 73;		Nível: 2
Vertice: 77;		Pai: 68;		Nível: 3
Vertice: 23;		Pai: 68;		Nível: 3
Vertice: 70;		Pai: 45;		Nível: 3
Vertice: 34;		Pai: 45;		Nível: 3
Vertice: 80;		Pai: 45;		Nível: 3
Vertice: 81;		Pai: 54;		Nível: 3
Vertice: 59;		Pai: 54;		Nível: 3
Vertice: 86;		Pai: 18;		Nível: 3
Vertice: 69;		Pai: 18;		Nível: 3
Vertice: 38;		Pai: 18;		Nível: 3
Vertice: 66;		Pai: 99;		Nível: 3
Vertice: 2;		Pai: 99;		Nível: 3
Vertice: 27;		Pai: 99;		Nível: 3
Vertice: 13;		Pai: 99;		Nível: 3
Vertice: 4;		Pai: 99;		Nível: 3
Vertice: 52;		Pai: 21;		Nível: 3
Vertice: 84;		Pai: 21;		Nível: 3
Vertice: 94;		Pai: 21;		Nível: 3
Vertice: 50;		Pai: 21;		Nível: 3
Vertice: 93;		Pai: 17;		Nível: 3
Vertice: 57;		Pai: 85;		Nível: 3
Vertice: 5;		Pai: 55;		Nível: 3
Vertice: 98;		Pai: 55;		Nível: 3
Vertice: 76;		Pai: 100;		Nível: 3
Vertice: 79;		Pai: 95;		Nível: 3
Vertice: 49;		Pai: 95;		Nível: 3
Vertice: 35;		Pai: 19;		Nível: 3
Vertice: 8;		Pai: 58;		Nível: 3
Vertice: 41;		Pai: 37;		Nível: 3
Vertice: 43;		Pai: 87;		Nível: 3
